"subjId";"fanSpeed";"TSV";"fanType"
"1";1;0;0;"downstream"
"2";2;1;1;"downstream"
"3";3;1;0;"downstream"
"4";4;0;0;"downstream"
"5";5;1;0;"downstream"
"6";6;0;1;"downstream"
"7";7;0;0;"downstream"
"8";8;0;1;"downstream"
"9";9;0;0;"downstream"
"10";10;0;0;"downstream"
"11";11;0;0;"downstream"
"12";12;0;0;"downstream"
"13";13;0;0;"downstream"
"14";14;0;0;"downstream"
"15";15;0;0;"downstream"
"16";16;0;0;"downstream"
"17";17;0;1;"downstream"
"18";18;0;0;"downstream"
"19";19;0;1;"downstream"
"20";20;0;1;"downstream"
"21";21;1;0;"downstream"
"22";1;0;0;"downstream"
"23";2;0;0;"downstream"
"24";3;0;0;"downstream"
"25";4;0;0;"downstream"
"26";5;0;0;"downstream"
"27";6;1;1;"downstream"
"28";7;0;0;"downstream"
"29";8;0;0;"downstream"
"30";9;0;0;"downstream"
"31";10;1;0;"downstream"
"32";11;0;0;"downstream"
"33";12;0;0;"downstream"
"34";13;0;0;"downstream"
"35";14;0;0;"downstream"
"36";15;0;0;"downstream"
"37";16;0;0;"downstream"
"38";17;0;0;"downstream"
"39";18;0;0;"downstream"
"40";19;0;0;"downstream"
"41";20;0;0;"downstream"
"42";21;0;0;"downstream"
"43";1;1;0;"downstream"
"44";2;0;0;"downstream"
"45";3;0;0;"downstream"
"46";4;2;0;"downstream"
"47";5;0;0;"downstream"
"48";6;1;1;"downstream"
"49";7;2;0;"downstream"
"50";8;1;0;"downstream"
"51";9;0;1;"downstream"
"52";10;1;0;"downstream"
"53";11;0;0;"downstream"
"54";12;1;0;"downstream"
"55";13;0;1;"downstream"
"56";14;1;0;"downstream"
"57";15;0;1;"downstream"
"58";16;0;1;"downstream"
"59";17;0;1;"downstream"
"60";18;0;0;"downstream"
"61";19;0;1;"downstream"
"62";20;0;1;"downstream"
"63";21;0;0;"downstream"
"64";1;1;1;"downstream"
"65";2;0;0;"downstream"
"66";3;2;1;"downstream"
"67";4;2;0;"downstream"
"68";5;0;0;"downstream"
"69";6;1;1;"downstream"
"70";7;2;0;"downstream"
"71";8;1;1;"downstream"
"72";9;0;1;"downstream"
"73";10;1;1;"downstream"
"74";11;0;1;"downstream"
"75";12;2;1;"downstream"
"76";13;1;0;"downstream"
"77";14;2;2;"downstream"
"78";15;0;0;"downstream"
"79";16;1;0;"downstream"
"80";17;2;0;"downstream"
"81";18;1;0;"downstream"
"82";19;0;0;"downstream"
"83";20;0;1;"downstream"
"84";21;0;1;"downstream"
"85";1;1;0;"downstream"
"86";2;2;0;"downstream"
"87";3;1;1;"downstream"
"88";4;2;0;"downstream"
"89";5;0;0;"downstream"
"90";6;1;1;"downstream"
"91";7;2;0;"downstream"
"92";8;1;2;"downstream"
"93";9;2;0;"downstream"
"94";11;0;0;"downstream"
"95";12;2;1;"downstream"
"96";13;1;0;"downstream"
"97";14;1;1;"downstream"
"98";15;0;0;"downstream"
"99";16;0;1;"downstream"
"100";17;1;0;"downstream"
"101";18;0;0;"downstream"
"102";19;0;0;"downstream"
"103";20;0;2;"downstream"
"104";21;1;1;"downstream"
"105";2;1;1;"downstream"
"106";4;0;0;"downstream"
"107";5;0;0;"downstream"
"108";7;0;0;"downstream"
"109";9;2;0;"downstream"
"110";11;0;0;"downstream"
"111";12;1;0;"downstream"
"112";13;0;0;"downstream"
"113";14;1;1;"downstream"
"114";15;0;0;"downstream"
"115";16;0;1;"downstream"
"116";17;0;0;"downstream"
"117";18;0;0;"downstream"
"118";19;0;0;"downstream"
"119";20;0;2;"downstream"
"120";21;0;2;"downstream"
"121";1;0;0;"upstream"
"122";2;1;0;"upstream"
"123";3;2;0;"upstream"
"124";4;0;0;"upstream"
"125";5;0;0;"upstream"
"126";6;0;1;"upstream"
"127";7;0;0;"upstream"
"128";8;0;1;"upstream"
"129";9;1;0;"upstream"
"130";10;0;0;"upstream"
"131";11;1;0;"upstream"
"132";12;0;0;"upstream"
"133";13;0;0;"upstream"
"134";14;0;0;"upstream"
"135";15;0;1;"upstream"
"136";16;0;0;"upstream"
"137";17;0;0;"upstream"
"138";18;0;0;"upstream"
"139";19;0;0;"upstream"
"140";20;0;1;"upstream"
"141";21;0;0;"upstream"
"142";1;0;0;"upstream"
"143";2;0;0;"upstream"
"144";3;0;0;"upstream"
"145";4;0;0;"upstream"
"146";5;0;0;"upstream"
"147";6;0;1;"upstream"
"148";7;0;0;"upstream"
"149";8;0;0;"upstream"
"150";9;0;1;"upstream"
"151";10;1;0;"upstream"
"152";11;0;0;"upstream"
"153";12;0;0;"upstream"
"154";13;0;0;"upstream"
"155";14;0;0;"upstream"
"156";15;0;0;"upstream"
"157";16;0;0;"upstream"
"158";17;0;0;"upstream"
"159";18;0;0;"upstream"
"160";19;0;0;"upstream"
"161";20;0;1;"upstream"
"162";21;0;1;"upstream"
"163";1;2;1;"upstream"
"164";2;0;1;"upstream"
"165";3;0;1;"upstream"
"166";4;0;1;"upstream"
"167";5;1;1;"upstream"
"168";6;1;1;"upstream"
"169";7;0;1;"upstream"
"170";8;0;1;"upstream"
"171";9;0;0;"upstream"
"172";10;1;1;"upstream"
"173";11;0;0;"upstream"
"174";12;0;0;"upstream"
"175";13;0;1;"upstream"
"176";14;0;0;"upstream"
"177";15;0;0;"upstream"
"178";16;0;1;"upstream"
"179";17;0;0;"upstream"
"180";18;0;1;"upstream"
"181";19;0;1;"upstream"
"182";20;0;2;"upstream"
"183";21;1;2;"upstream"
"184";1;2;0;"upstream"
"185";2;1;1;"upstream"
"186";3;1;1;"upstream"
"187";4;0;1;"upstream"
"188";5;2;0;"upstream"
"189";6;2;2;"upstream"
"190";7;0;1;"upstream"
"191";8;2;2;"upstream"
"192";9;2;1;"upstream"
"193";10;2;2;"upstream"
"194";11;2;1;"upstream"
"195";12;2;1;"upstream"
"196";13;0;0;"upstream"
"197";14;2;1;"upstream"
"198";16;1;1;"upstream"
"199";17;0;0;"upstream"
"200";18;1;1;"upstream"
"201";19;0;2;"upstream"
"202";20;0;2;"upstream"
"203";21;2;2;"upstream"
"204";2;1;1;"upstream"
"205";3;1;1;"upstream"
"206";4;0;1;"upstream"
"207";5;2;0;"upstream"
"208";6;2;2;"upstream"
"209";7;0;1;"upstream"
"210";8;2;0;"upstream"
"211";9;2;0;"upstream"
"212";11;2;1;"upstream"
"213";12;2;2;"upstream"
"214";13;0;0;"upstream"
"215";14;2;1;"upstream"
"216";16;1;2;"upstream"
"217";17;0;0;"upstream"
"218";18;1;2;"upstream"
"219";19;0;2;"upstream"
"220";20;0;2;"upstream"
"221";21;2;0;"upstream"
"222";2;1;2;"upstream"
"223";3;1;1;"upstream"
"224";4;0;1;"upstream"
"225";5;2;0;"upstream"
"226";7;0;0;"upstream"
"227";9;2;0;"upstream"
"228";11;2;0;"upstream"
"229";12;2;2;"upstream"
"230";13;0;0;"upstream"
"231";14;2;2;"upstream"
"232";16;1;2;"upstream"
"233";17;0;0;"upstream"
"234";18;1;1;"upstream"
"235";19;1;2;"upstream"
"236";20;1;2;"upstream"
"237";21;2;2;"upstream"
